Country,Year,GDP Real (in USD),Population,Medal_Won,Lat,Lng
Algeria,2016,1.96035,4.0551392,2,28.033886,1.659626
Argentina,2016,4.47518,4.350846,5,-38.416097,-63.616672
Armenia,2016,0.115019987,0.2936143,4,40.069099,45.038189
Australia,2016,13.493,2.4262712,34,-25.274398,133.775136
Austria,2016,4.21989,0.8747301,2,47.516231,14.550072
Azerbaijan,2016,0.571955318,0.9736043,18,40.143105,47.576927
Bahamas,2016,0.103438038,0.037793,2,25.03428,-77.39628
Bahrain,2016,0.318475468,0.1425792,2,25.930414,50.637772
Belarus,2016,0.605475923,0.9445643,9,53.709807,27.953389
Belgium,2016,5.16766,1.135442,6,50.503887,4.469936
Brazil,2016,22.6009,20.6163053,23,-14.235004,-51.92528
Bulgaria,2016,0.567865169,0.7151953,3,42.733883,25.48583
Burundi,2016,0.023069557,1.0487995,1,-3.373056,29.918886
Canada,2016,18.28,3.6382944,24,56.130366,-106.346771
Colombia,2016,3.66906,4.8175052,8,4.570868,-74.297333
Croatia,2016,0.614196215,0.4208602,12,45.1,15.2
Cuba,2016,0.74248074,1.1335104,11,21.521757,-77.781167
Denmark,2016,3.51532,0.5711349,18,56.26392,9.501785
Dominican Republic,2016,0.736641293,1.0397741,1,18.735693,-70.162651
Egypt,2016,2.60805,9.4447073,3,26.820553,30.802498
Estonia,2016,0.241944427,0.131651,1,58.595272,25.013607
Ethiopia,2016,0.523472262,10.3603462,8,9.145,40.489673
Fiji,2016,0.037711683,0.0872399,1,-16.578193,179.414413
Finland,2016,2.55195,0.5497713,1,61.92411,25.748151
France,2016,28.1386,6.4667596,45,46.227638,2.213749
Georgia,2016,0.151896144,0.401545,7,42.315407,43.356892
Germany,2016,38.0186,8.2193768,48,51.165691,10.451526
Great Britain,2016,27.6824,6.6297944,75,55.378051,-3.435973
Greece,2016,2.44251,1.0615185,7,39.074208,21.824312
Grenada,2016,0.009316291,0.0110261,1,12.262776,-61.604171
Hungary,2016,1.47526,0.9752975,16,47.162494,19.503304
India,2016,24.8243,132.4517249,2,20.593684,78.96288
Indonesia,2016,10.3786,26.1556381,4,-0.789275,113.921327
Ireland,2016,3.34294,0.4695779,3,53.41291,-8.24389
Israel,2016,2.89193,0.8108985,2,31.046051,34.851612
Italy,2016,20.8599,6.066306,31,41.87194,12.56738
Jamaica,2016,0.138153986,0.2906236,11,18.109581,-77.297508
Japan,2016,60.5267,12.7763265,43,36.204824,138.252924
Jordan,2016,0.308116669,0.9554286,1,30.585164,36.238414
Kazakhstan,2016,1.88309,1.7830901,18,48.019573,66.923684
Kenya,2016,0.554092271,4.9051534,13,-0.023559,37.906193
Lithuania,2016,0.457328689,0.2889557,7,55.169438,23.881275
Malaysia,2016,3.44272,3.0684654,8,4.210484,101.975766
Mexico,2016,12.5856,12.3333376,5,23.634501,-102.552784
Mongolia,2016,0.118166296,0.3056364,2,46.862496,103.846656
Morocco,2016,1.1466,3.5126283,1,31.791702,-7.09262
Netherlands,2016,8.97959,1.6981295,21,52.132633,5.291266
New Zealand,2016,1.76129,0.4659265,23,-40.900557,174.885971
Niger,2016,0.081073466,2.0788798,1,17.607789,8.081666
Nigeria,2016,4.56775,18.5960241,1,9.081999,8.675277
Norway,2016,4.73214,0.5250949,6,60.472024,8.468946
People's Republic of China,2016,95.0516,141.4049351,82,35.86166,104.195397
Philippines,2016,2.84349,10.3663816,1,12.879721,121.774017
Poland,2016,5.73324,3.798922,13,51.919438,19.145136
Portugal,2016,2.32444,1.0325538,1,39.399872,-8.224454
Qatar,2016,1.70685,0.2654374,1,25.354826,51.183884
Republic of Korea,2016,13.0595,5.0983457,22,35.907757,127.766922
Romania,2016,2.0169,1.9796285,5,45.943161,24.96676
Russia,2016,16.5444,14.5275383,59,61.52401,105.318756
Serbia,2016,0.413080129,0.8853963,9,44.016521,21.005859
Singapore,2016,2.9917,0.5653634,1,1.352083,103.819836
Slovakia,2016,1.04804,0.5442003,5,48.669026,19.699024
Slovenia,2016,0.50511749,0.207421,4,46.151241,14.995463
South Africa,2016,4.21266,5.6207646,11,-30.559482,22.937506
Spain,2016,14.6607,4.663414,19,40.463667,-3.74922
Sweden,2016,5.57637,0.9836007,11,60.128161,18.643501
Switzerland,2016,6.44197,0.8379917,8,46.818188,8.227512
Tajikistan,2016,0.084568241,0.8663579,1,38.861034,71.276093
Thailand,2016,4.07015,6.8971308,6,15.870032,100.992541
Trinidad and Tobago,2016,0.215192671,0.137756,1,10.691803,-61.222503
Tunisia,2016,0.486820595,1.1303945,3,33.886917,9.537499
Turkey,2016,11.2251,7.9827871,8,38.963745,35.243322
Ukraine,2016,1.24162,4.4713702,12,48.379433,31.16558
United Arab Emirates,2016,3.84222,0.936098,1,23.424076,53.847818
United States of America,2016,169.723,32.3015995,127,37.09024,-95.712891
Uzbekistan,2016,0.624690882,3.1441751,13,41.377491,64.585262
Vietnam,2016,1.64105,9.3640422,2,14.058324,108.277199
