,discipline_title,slug_game,event_title,event_gender,medal_type,participant_type,participant_title,athlete_name,athlete_surname,country_name,country_code,country_tri_letter_code
0,Skeleton,pyeongchang-2018,Women,Women,GOLD,Athlete,,Lizzy,YARNOLD,Great Britain,GB,GBR
1,Skeleton,pyeongchang-2018,Women,Women,SILVER,Athlete,,Jacqueline,LOELLING,Germany,DE,GER
2,Skeleton,pyeongchang-2018,Women,Women,BRONZE,Athlete,,Laura,DEAS,Great Britain,GB,GBR
3,Skeleton,pyeongchang-2018,Men,Men,GOLD,Athlete,,Sungbin,YUN,Republic of Korea,KR,KOR
4,Skeleton,pyeongchang-2018,Men,Men,SILVER,Athlete,,Nikita,TREGUBOV,Olympic Athletes from Russia,,OAR
5,Skeleton,pyeongchang-2018,Men,Men,BRONZE,Athlete,,Dom,PARSONS,Great Britain,GB,GBR
6,Speed skating,pyeongchang-2018,Men’s 5000m,Men,GOLD,Athlete,,Sven,KRAMER,Netherlands,NL,NED
7,Speed skating,pyeongchang-2018,Men’s 5000m,Men,SILVER,Athlete,,Ted-Jan,BLOEMEN,Canada,CA,CAN
8,Speed skating,pyeongchang-2018,Men’s 5000m,Men,BRONZE,Athlete,,Sverre Lunde,PEDERSEN,Norway,NO,NOR
9,Speed skating,pyeongchang-2018,Ladies’ Mass Start,Women,GOLD,Athlete,,Nana,TAKAGI,Japan,JP,JPN
10,Speed skating,pyeongchang-2018,Ladies’ Mass Start,Women,SILVER,Athlete,,Bo Reum,KIM,Republic of Korea,KR,KOR
11,Speed skating,pyeongchang-2018,Ladies’ Mass Start,Women,BRONZE,Athlete,,Irene,SCHOUTEN,Netherlands,NL,NED
12,Speed skating,pyeongchang-2018,Men’s 500m,Men,GOLD,Athlete,,Havard,LORENTZEN,Norway,NO,NOR
13,Speed skating,pyeongchang-2018,Men’s 500m,Men,SILVER,Athlete,,Min Kyu,CHA,Republic of Korea,KR,KOR
14,Speed skating,pyeongchang-2018,Men’s 500m,Men,BRONZE,Athlete,,Tingyu,GAO,People's Republic of China,CN,CHN
15,Speed skating,pyeongchang-2018,Ladies’ 500m,Women,GOLD,Athlete,,Nao,KODAIRA,Japan,JP,JPN
16,Speed skating,pyeongchang-2018,Ladies’ 500m,Women,SILVER,Athlete,,Sang-Hwa,LEE,Republic of Korea,KR,KOR
17,Speed skating,pyeongchang-2018,Ladies’ 500m,Women,BRONZE,Athlete,,Karolina,ERBANOVA,Czech Republic,CZ,CZE
18,Speed skating,pyeongchang-2018,Men’s Team Pursuit,Men,GOLD,GameTeam,Norway team,,,Norway,NO,NOR
19,Speed skating,pyeongchang-2018,Men’s Team Pursuit,Men,SILVER,GameTeam,Republic of Korea team,,,Republic of Korea,KR,KOR
20,Speed skating,pyeongchang-2018,Men’s Team Pursuit,Men,BRONZE,GameTeam,Netherlands team,,,Netherlands,NL,NED
21,Speed skating,pyeongchang-2018,Men’s 10000m,Men,GOLD,Athlete,,Ted-Jan,BLOEMEN,Canada,CA,CAN
22,Speed skating,pyeongchang-2018,Men’s 10000m,Men,SILVER,Athlete,,Jorrit,BERGSMA,Netherlands,NL,NED
23,Speed skating,pyeongchang-2018,Men’s 10000m,Men,BRONZE,Athlete,,Nicola,TUMOLERO,Italy,IT,ITA
24,Speed skating,pyeongchang-2018,Men’s 1500m,Men,GOLD,Athlete,,Kjeld,NUIS,Netherlands,NL,NED
25,Speed skating,pyeongchang-2018,Men’s 1500m,Men,SILVER,Athlete,,Patrick,ROEST,Netherlands,NL,NED
26,Speed skating,pyeongchang-2018,Men’s 1500m,Men,BRONZE,Athlete,,Min Seok,KIM,Republic of Korea,KR,KOR
27,Speed skating,pyeongchang-2018,Ladies’ 3000m,Women,GOLD,Athlete,,Carlijn,ACHTEREEKTE,Netherlands,NL,NED
28,Speed skating,pyeongchang-2018,Ladies’ 3000m,Women,SILVER,Athlete,,Ireen,WÜST,Netherlands,NL,NED
29,Speed skating,pyeongchang-2018,Ladies’ 3000m,Women,BRONZE,Athlete,,Antoinette,DE JONG,Netherlands,NL,NED
30,Speed skating,pyeongchang-2018,Men’s 1000m,Men,GOLD,Athlete,,Kjeld,NUIS,Netherlands,NL,NED
31,Speed skating,pyeongchang-2018,Men’s 1000m,Men,SILVER,Athlete,,Havard,LORENTZEN,Norway,NO,NOR
32,Speed skating,pyeongchang-2018,Men’s 1000m,Men,BRONZE,Athlete,,Tae-Yun,KIM,Republic of Korea,KR,KOR
33,Speed skating,pyeongchang-2018,Ladies’ Team Pursuit,Women,GOLD,GameTeam,Japan team,,,Japan,JP,JPN
34,Speed skating,pyeongchang-2018,Ladies’ Team Pursuit,Women,SILVER,GameTeam,Netherlands team,,,Netherlands,NL,NED
35,Speed skating,pyeongchang-2018,Ladies’ Team Pursuit,Women,BRONZE,GameTeam,United States team,,,United States of America,US,USA
36,Speed skating,pyeongchang-2018,Ladies’ 5000m,Women,GOLD,Athlete,,Esmee,VISSER,Netherlands,NL,NED
37,Speed skating,pyeongchang-2018,Ladies’ 5000m,Women,SILVER,Athlete,,Martina,SABLIKOVA,Czech Republic,CZ,CZE
38,Speed skating,pyeongchang-2018,Ladies’ 5000m,Women,BRONZE,Athlete,,Natalia,VORONINA,Olympic Athletes from Russia,,OAR
39,Speed skating,pyeongchang-2018,Ladies’ 1500m,Women,GOLD,Athlete,,Ireen,WÜST,Netherlands,NL,NED
40,Speed skating,pyeongchang-2018,Ladies’ 1500m,Women,SILVER,Athlete,,Miho,TAKAGI,Japan,JP,JPN
41,Speed skating,pyeongchang-2018,Ladies’ 1500m,Women,BRONZE,Athlete,,Marrit,LEENSTRA,Netherlands,NL,NED
42,Speed skating,pyeongchang-2018,Men’s Mass Start,Men,GOLD,Athlete,,Seung Hoon,LEE,Republic of Korea,KR,KOR
43,Speed skating,pyeongchang-2018,Men’s Mass Start,Men,SILVER,Athlete,,Bart,SWINGS,Belgium,BE,BEL
44,Speed skating,pyeongchang-2018,Men’s Mass Start,Men,BRONZE,Athlete,,Koen,VERWEIJ,Netherlands,NL,NED
45,Speed skating,pyeongchang-2018,Ladies’ 1000m,Women,GOLD,Athlete,,Jorien,TER MORS,Netherlands,NL,NED
46,Speed skating,pyeongchang-2018,Ladies’ 1000m,Women,SILVER,Athlete,,Nao,KODAIRA,Japan,JP,JPN
47,Speed skating,pyeongchang-2018,Ladies’ 1000m,Women,BRONZE,Athlete,,Miho,TAKAGI,Japan,JP,JPN
48,Biathlon,pyeongchang-2018,2x6km Women + 2x7.5km Men Mixed Relay,Mixed,GOLD,GameTeam,France team,,,France,FR,FRA
49,Biathlon,pyeongchang-2018,2x6km Women + 2x7.5km Men Mixed Relay,Mixed,SILVER,GameTeam,Norway team,,,Norway,NO,NOR
50,Biathlon,pyeongchang-2018,2x6km Women + 2x7.5km Men Mixed Relay,Mixed,BRONZE,GameTeam,Italy team,,,Italy,IT,ITA
51,Biathlon,pyeongchang-2018,Men’s 20km Individual,Men,GOLD,Athlete,,Johannes Thingnes,BOE,Norway,NO,NOR
52,Biathlon,pyeongchang-2018,Men’s 20km Individual,Men,SILVER,Athlete,,Jakov,FAK,Slovenia,SI,SLO
53,Biathlon,pyeongchang-2018,Men’s 20km Individual,Men,BRONZE,Athlete,,Dominik,LANDERTINGER,Austria,AT,AUT
54,Biathlon,pyeongchang-2018,Women’s 15km Individual,Women,GOLD,Athlete,,Hanna,OEBERG,Sweden,SE,SWE
55,Biathlon,pyeongchang-2018,Women’s 15km Individual,Women,SILVER,Athlete,,Anastasiya,KUZMINA,Slovakia,SK,SVK
56,Biathlon,pyeongchang-2018,Women’s 15km Individual,Women,BRONZE,Athlete,,Laura,DAHLMEIER,Germany,DE,GER
57,Biathlon,pyeongchang-2018,Men’s 10km Sprint,Men,GOLD,Athlete,,Arnd,PEIFFER,Germany,DE,GER
58,Biathlon,pyeongchang-2018,Men’s 10km Sprint,Men,SILVER,Athlete,,Michal,KRCMAR,Czech Republic,CZ,CZE
59,Biathlon,pyeongchang-2018,Men’s 10km Sprint,Men,BRONZE,Athlete,,Dominik,WINDISCH,Italy,IT,ITA
60,Biathlon,pyeongchang-2018,Men’s 12.5km Pursuit,Men,GOLD,Athlete,,Martin,FOURCADE,France,FR,FRA
61,Biathlon,pyeongchang-2018,Men’s 12.5km Pursuit,Men,SILVER,Athlete,,Sebastian,SAMUELSSON,Sweden,SE,SWE
62,Biathlon,pyeongchang-2018,Men’s 12.5km Pursuit,Men,BRONZE,Athlete,,Benedikt,DOLL,Germany,DE,GER
63,Biathlon,pyeongchang-2018,Women’s 7.5km Sprint,Women,GOLD,Athlete,,Laura,DAHLMEIER,Germany,DE,GER
64,Biathlon,pyeongchang-2018,Women’s 7.5km Sprint,Women,SILVER,Athlete,,Marte,OLSBU,Norway,NO,NOR
65,Biathlon,pyeongchang-2018,Women’s 7.5km Sprint,Women,BRONZE,Athlete,,Veronika,VITKOVA,Czech Republic,CZ,CZE
66,Biathlon,pyeongchang-2018,Women’s 12.5km Mass Start,Women,GOLD,Athlete,,Anastasiya,KUZMINA,Slovakia,SK,SVK
67,Biathlon,pyeongchang-2018,Women’s 12.5km Mass Start,Women,SILVER,Athlete,,Darya,DOMRACHEVA,Belarus,BY,BLR
68,Biathlon,pyeongchang-2018,Women’s 12.5km Mass Start,Women,BRONZE,Athlete,,Tiril,ECKHOFF,Norway,NO,NOR
69,Biathlon,pyeongchang-2018,Men’s 4x7.5km Relay,Men,GOLD,GameTeam,Sweden team,,,Sweden,SE,SWE
70,Biathlon,pyeongchang-2018,Men’s 4x7.5km Relay,Men,SILVER,GameTeam,Norway team,,,Norway,NO,NOR
71,Biathlon,pyeongchang-2018,Men’s 4x7.5km Relay,Men,BRONZE,GameTeam,Germany team,,,Germany,DE,GER
72,Biathlon,pyeongchang-2018,Women’s 10km Pursuit,Women,GOLD,Athlete,,Laura,DAHLMEIER,Germany,DE,GER
73,Biathlon,pyeongchang-2018,Women’s 10km Pursuit,Women,SILVER,Athlete,,Anastasiya,KUZMINA,Slovakia,SK,SVK
74,Biathlon,pyeongchang-2018,Women’s 10km Pursuit,Women,BRONZE,Athlete,,Anais,BESCOND,France,FR,FRA
75,Biathlon,pyeongchang-2018,Women’s 4x6km Relay,Women,GOLD,GameTeam,Belarus team,,,Belarus,BY,BLR
76,Biathlon,pyeongchang-2018,Women’s 4x6km Relay,Women,SILVER,GameTeam,Sweden team,,,Sweden,SE,SWE
77,Biathlon,pyeongchang-2018,Women’s 4x6km Relay,Women,BRONZE,GameTeam,France team,,,France,FR,FRA
78,Biathlon,pyeongchang-2018,Men’s 15km Mass Start,Men,GOLD,Athlete,,Martin,FOURCADE,France,FR,FRA
79,Biathlon,pyeongchang-2018,Men’s 15km Mass Start,Men,SILVER,Athlete,,Simon,SCHEMPP,Germany,DE,GER
80,Biathlon,pyeongchang-2018,Men’s 15km Mass Start,Men,BRONZE,Athlete,,Emil Hegle,SVENDSEN,Norway,NO,NOR
81,Snowboard,pyeongchang-2018,Men’s Snowboard Cross,Men,GOLD,Athlete,,Pierre,VAULTIER,France,FR,FRA
82,Snowboard,pyeongchang-2018,Men’s Snowboard Cross,Men,SILVER,Athlete,,Jarryd,HUGHES,Australia,AU,AUS
83,Snowboard,pyeongchang-2018,Men’s Snowboard Cross,Men,BRONZE,Athlete,,Regino,HERNANDEZ,Spain,ES,ESP
84,Snowboard,pyeongchang-2018,Men’s Big Air,Men,GOLD,Athlete,,Sebastien,TOUTANT,Canada,CA,CAN
85,Snowboard,pyeongchang-2018,Men’s Big Air,Men,SILVER,Athlete,,Kyle,MACK,United States of America,US,USA
86,Snowboard,pyeongchang-2018,Men’s Big Air,Men,BRONZE,Athlete,,Billy,MORGAN,Great Britain,GB,GBR
87,Snowboard,pyeongchang-2018,Ladies’ Slopestyle,Women,GOLD,Athlete,,Jamie,ANDERSON,United States of America,US,USA
88,Snowboard,pyeongchang-2018,Ladies’ Slopestyle,Women,SILVER,Athlete,,Laurie,BLOUIN,Canada,CA,CAN
89,Snowboard,pyeongchang-2018,Ladies’ Slopestyle,Women,BRONZE,Athlete,,Enni,RUKAJARVI,Finland,FI,FIN
90,Snowboard,pyeongchang-2018,Ladies’ Snowboard Cross,Women,GOLD,Athlete,,Michela,MOIOLI,Italy,IT,ITA
91,Snowboard,pyeongchang-2018,Ladies’ Snowboard Cross,Women,SILVER,Athlete,,Julia,PEREIRA DE SOUSA MABILEAU,France,FR,FRA
92,Snowboard,pyeongchang-2018,Ladies’ Snowboard Cross,Women,BRONZE,Athlete,,Eva,SAMKOVA,Czech Republic,CZ,CZE
93,Snowboard,pyeongchang-2018,Ladies’ Halfpipe,Women,GOLD,Athlete,,Chloe,KIM,United States of America,US,USA
94,Snowboard,pyeongchang-2018,Ladies’ Halfpipe,Women,SILVER,Athlete,,Jiayu,LIU,People's Republic of China,CN,CHN
95,Snowboard,pyeongchang-2018,Ladies’ Halfpipe,Women,BRONZE,Athlete,,Arielle,Gold,United States of America,US,USA
96,Snowboard,pyeongchang-2018,Ladies’ Parallel Giant Slalom,Women,GOLD,Athlete,,Ester,LEDECKA,Czech Republic,CZ,CZE
97,Snowboard,pyeongchang-2018,Ladies’ Parallel Giant Slalom,Women,SILVER,Athlete,,Selina,JOERG,Germany,DE,GER
98,Snowboard,pyeongchang-2018,Ladies’ Parallel Giant Slalom,Women,BRONZE,Athlete,,Ramona Theresia,HOFMEISTER,Germany,DE,GER
99,Snowboard,pyeongchang-2018,Men’s Parallel Giant Slalom,Men,GOLD,Athlete,,Nevin,GALMARINI,Switzerland,CH,SUI
100,Snowboard,pyeongchang-2018,Men’s Parallel Giant Slalom,Men,SILVER,Athlete,,Sangho,LEE,Republic of Korea,KR,KOR
101,Snowboard,pyeongchang-2018,Men’s Parallel Giant Slalom,Men,BRONZE,Athlete,,Zan,KOSIR,Slovenia,SI,SLO
102,Snowboard,pyeongchang-2018,Men’s Halfpipe,Men,GOLD,Athlete,,Shaun,WHITE,United States of America,US,USA
103,Snowboard,pyeongchang-2018,Men’s Halfpipe,Men,SILVER,Athlete,,Ayumu,HIRANO,Japan,JP,JPN
104,Snowboard,pyeongchang-2018,Men’s Halfpipe,Men,BRONZE,Athlete,,Scotty,JAMES,Australia,AU,AUS
105,Snowboard,pyeongchang-2018,Men’s Slopestyle,Men,GOLD,Athlete,,Redmond,GERARD,United States of America,US,USA
106,Snowboard,pyeongchang-2018,Men’s Slopestyle,Men,SILVER,Athlete,,Max,PARROT,Canada,CA,CAN
107,Snowboard,pyeongchang-2018,Men’s Slopestyle,Men,BRONZE,Athlete,,Mark,MCMORRIS,Canada,CA,CAN
108,Snowboard,pyeongchang-2018,Ladies’ Big Air,Women,GOLD,Athlete,,Anna,GASSER,Austria,AT,AUT
109,Snowboard,pyeongchang-2018,Ladies’ Big Air,Women,SILVER,Athlete,,Jamie,ANDERSON,United States of America,US,USA
110,Snowboard,pyeongchang-2018,Ladies’ Big Air,Women,BRONZE,Athlete,,Zoi,SADOWSKI SYNNOTT,New Zealand,NZ,NZL
111,Freestyle Skiing,pyeongchang-2018,Ladies’ Ski Slopestyle,Women,GOLD,Athlete,,Sarah,HOEFFLIN,Switzerland,CH,SUI
